Word,Frequency,Probability
Bannerman,1,7.450454477723141e-05
Berkeley,21,0.0015645954403218597
Berkeleys,5,0.00037252272388615704
Bertrand,3,0.00022351363433169424
Bishop,2,0.00014900908955446283
Bismarck,15,0.001117568171658471
Bismarcks,1,7.450454477723141e-05
Books,1,7.450454477723141e-05
Bradley,1,7.450454477723141e-05
British,1,7.450454477723141e-05
Broadly,1,7.450454477723141e-05
Brown,6,0.0004470272686633885
CHAPTER,15,0.001117568171658471
CONSEQUENTIAL,1,7.450454477723141e-05
CONTRACT,1,7.450454477723141e-05
Caesar,6,0.0004470272686633885
Campbell,1,7.450454477723141e-05
Cantor,1,7.450454477723141e-05
Cassio,28,0.0020861272537624795
Chancellor,4,0.00029801817910892565
Chapter,4,0.00029801817910892565
Charles,5,0.00037252272388615704
China,2,0.00014900908955446283
City,1,7.450454477723141e-05
Cogito,1,7.450454477723141e-05
Common,2,0.00014900908955446283
Compliance,1,7.450454477723141e-05
Considered,1,7.450454477723141e-05
Contact,1,7.450454477723141e-05
Continental,1,7.450454477723141e-05
Contributions,1,7.450454477723141e-05
Copyright,1,7.450454477723141e-05
Creating,1,7.450454477723141e-05
DAMAGE,1,7.450454477723141e-05
DAMAGES,2,0.00014900908955446283
DESCRIPTION,1,7.450454477723141e-05
DIRECT,1,7.450454477723141e-05
DISCLAIMER,1,7.450454477723141e-05
DISTRIBUTE,1,7.450454477723141e-05
DISTRIBUTOR,1,7.450454477723141e-05
DONATIONS,1,7.450454477723141e-05
December,1,7.450454477723141e-05
Defect,1,7.450454477723141e-05
Degrees,1,7.450454477723141e-05
Derivative,1,7.450454477723141e-05
Descartes,6,0.0004470272686633885
Desdemona,25,0.0018626136194307853
Desdemonas,7,0.0005215318134406199
Dialogues,2,0.00014900908955446283
Domestic,1,7.450454477723141e-05
Donations,2,0.00014900908955446283
EBOOK,2,0.00014900908955446283
EIN,1,7.450454477723141e-05
ERROR,1,7.450454477723141e-05
EXISTENCE,1,7.450454477723141e-05
EXPRESS,1,7.450454477723141e-05
Earth,1,7.450454477723141e-05
East,1,7.450454477723141e-05
Edinburgh,9,0.0006705409029950827
Email,1,7.450454477723141e-05
Emperor,2,0.00014900908955446283
Empire,5,0.00037252272388615704
England,1,7.450454477723141e-05
English,1,7.450454477723141e-05
Enquiry,1,7.450454477723141e-05
Ethics,1,7.450454477723141e-05
Euclidean,2,0.00014900908955446283
Euclids,1,7.450454477723141e-05
Europe,1,7.450454477723141e-05
Experience,2,0.00014900908955446283
FALSEHOOD,1,7.450454477723141e-05
FITNESS,1,7.450454477723141e-05
FOUNDATION,1,7.450454477723141e-05
Food,1,7.450454477723141e-05
Foundation,19,0.0014155863507673968
Foundation’s,3,0.00022351363433169424
Foundation”,2,0.00014900908955446283
French,2,0.00014900908955446283
Future,1,7.450454477723141e-05
GUTENBERG,3,0.00022351363433169424
GUTENBERG™,1,7.450454477723141e-05
Georg,1,7.450454477723141e-05
George,1,7.450454477723141e-05
German,8,0.0005960363582178513
Germany,2,0.00014900908955446283
Gilbert,1,7.450454477723141e-05
God,8,0.0005960363582178513
Gods,2,0.00014900908955446283
Gordon,1,7.450454477723141e-05
Granted,1,7.450454477723141e-05
Greek,2,0.00014900908955446283
Greeks,1,7.450454477723141e-05
Gutenberg,23,0.0017136045298763224
Gutenbergs,1,7.450454477723141e-05
Gutenberg”,5,0.00037252272388615704
Gutenberg™,55,0.004097749962747727
Gutenberg™’s,1,7.450454477723141e-05
Hart,1,7.450454477723141e-05
Hegel,7,0.0005215318134406199
Hegels,1,7.450454477723141e-05
Henry,1,7.450454477723141e-05
Human,1,7.450454477723141e-05
Hume,6,0.0004470272686633885
Humemaintained,1,7.450454477723141e-05
Humes,1,7.450454477723141e-05
Hylas,3,0.00022351363433169424
IDEALISM,1,7.450454477723141e-05
III,1,7.450454477723141e-05
IMPLIED,1,7.450454477723141e-05
INCIDENTAL,1,7.450454477723141e-05
INCLUDING,1,7.450454477723141e-05
INDEMNITY,1,7.450454477723141e-05
INDIRECT,1,7.450454477723141e-05
INDUCTION,1,7.450454477723141e-05
INTUITIVE,1,7.450454477723141e-05
IRS,1,7.450454477723141e-05
IV,3,0.00022351363433169424
IX,2,0.00014900908955446283
Idea,2,0.00014900908955446283
Idealists,1,7.450454477723141e-05
Ides,1,7.450454477723141e-05
Immanuel,1,7.450454477723141e-05
Instances,1,7.450454477723141e-05
Internal,1,7.450454477723141e-05
International,1,7.450454477723141e-05
Introduction,1,7.450454477723141e-05
Jones,7,0.0005215318134406199
Judgements,1,7.450454477723141e-05
Judging,1,7.450454477723141e-05
Julius,6,0.0004470272686633885
June,1,7.450454477723141e-05
KNOWLEDGE,8,0.0005960363582178513
Kant,19,0.0014155863507673968
Kantian,1,7.450454477723141e-05
Kants,6,0.0004470272686633885
Keener,1,7.450454477723141e-05
Keynes,1,7.450454477723141e-05
King,3,0.00022351363433169424
Kings,1,7.450454477723141e-05
Knowledge,4,0.00029801817910892565
Königsberg,1,7.450454477723141e-05
LIABILITY,1,7.450454477723141e-05
LIABLE,1,7.450454477723141e-05
LICENSE,2,0.00014900908955446283
LIMITED,3,0.00022351363433169424
LIMITS,1,7.450454477723141e-05
Lake,1,7.450454477723141e-05
Language,1,7.450454477723141e-05
Latin,1,7.450454477723141e-05
Laws,1,7.450454477723141e-05
Leaving,1,7.450454477723141e-05
Leibniz,7,0.0005215318134406199
Leibnizmaintained,1,7.450454477723141e-05
Library,1,7.450454477723141e-05
License,10,0.0007450454477723141
Light,1,7.450454477723141e-05
Literary,13,0.0009685590821040083
Locke,1,7.450454477723141e-05
London,10,0.0007450454477723141
MATTER,2,0.00014900908955446283
MERCHANTABILITY,1,7.450454477723141e-05
March,1,7.450454477723141e-05
Mathematics,1,7.450454477723141e-05
Meditations,1,7.450454477723141e-05
Memories,1,7.450454477723141e-05
Metaphysic,1,7.450454477723141e-05
Michael,1,7.450454477723141e-05
Minister,3,0.00022351363433169424
Ministers,3,0.00022351363433169424
Mission,1,7.450454477723141e-05
Mississippi,1,7.450454477723141e-05
Monadology,1,7.450454477723141e-05
Moore,1,7.450454477723141e-05
Murray,1,7.450454477723141e-05
NATURE,1,7.450454477723141e-05
NEGLIGENCE,1,7.450454477723141e-05
NOTE,1,7.450454477723141e-05
NOTICE,1,7.450454477723141e-05
Neglecting,1,7.450454477723141e-05
Newtons,1,7.450454477723141e-05
North,1,7.450454477723141e-05
OPINION,1,7.450454477723141e-05
OWNER,1,7.450454477723141e-05
Opposition,1,7.450454477723141e-05
Othello,18,0.0013410818059901655
Othellos,2,0.00014900908955446283
PARAGRAPH,1,7.450454477723141e-05
PGLAF,1,7.450454477723141e-05
PHILOSOPHICAL,1,7.450454477723141e-05
PHILOSOPHY,4,0.00029801817910892565
POSSIBILITY,1,7.450454477723141e-05
PREFACE,1,7.450454477723141e-05
PRINCIPLES,1,7.450454477723141e-05
PRIORI,1,7.450454477723141e-05
PROBABLE,1,7.450454477723141e-05
PROJECT,4,0.00029801817910892565
PUNITIVE,1,7.450454477723141e-05
PURPOSE,1,7.450454477723141e-05
Philonous,3,0.00022351363433169424
Philosophic,2,0.00014900908955446283
Philosophical,1,7.450454477723141e-05
Philosophy,9,0.0006705409029950827
Physical,2,0.00014900908955446283
Plato,8,0.0005960363582178513
Platos,3,0.00022351363433169424
Prime,6,0.0004470272686633885
Principles,1,7.450454477723141e-05
Produced,1,7.450454477723141e-05
Professor,2,0.00014900908955446283
Project,80,0.005960363582178513
Prolegomena,1,7.450454477723141e-05
Pronouns,1,7.450454477723141e-05
Prussia,1,7.450454477723141e-05
READ,1,7.450454477723141e-05
REALITY,1,7.450454477723141e-05
REFUND,1,7.450454477723141e-05
REMEDIES,1,7.450454477723141e-05
REPLACEMENT,1,7.450454477723141e-05
Rationalists,1,7.450454477723141e-05
Reality,2,0.00014900908955446283
Redistributing,1,7.450454477723141e-05
Redistribution,1,7.450454477723141e-05
Reflection,1,7.450454477723141e-05
Refund”,1,7.450454477723141e-05
Release,1,7.450454477723141e-05
Replacement,1,7.450454477723141e-05
Republic,1,7.450454477723141e-05
Returning,1,7.450454477723141e-05
Revenue,1,7.450454477723141e-05
Revolution,1,7.450454477723141e-05
Robinson,6,0.0004470272686633885
Roman,1,7.450454477723141e-05
Royalty,2,0.00014900908955446283
Russell,3,0.00022351363433169424
SEND,1,7.450454477723141e-05
START,2,0.00014900908955446283
STRICT,1,7.450454477723141e-05
Salt,1,7.450454477723141e-05
Sceptics,1,7.450454477723141e-05
Science,2,0.00014900908955446283
Sections,1,7.450454477723141e-05
Selfacquaintedwithsensedatum,1,7.450454477723141e-05
Selfassertion,1,7.450454477723141e-05
Selfevidence,1,7.450454477723141e-05
Sensedata,1,7.450454477723141e-05
Service,1,7.450454477723141e-05
Sir,1,7.450454477723141e-05
Smith,6,0.0004470272686633885
Socrates,14,0.0010430636268812397
Solar,2,0.00014900908955446283
Space,1,7.450454477723141e-05
Speaking,1,7.450454477723141e-05
Special,1,7.450454477723141e-05
Spinoza,3,0.00022351363433169424
Starting,1,7.450454477723141e-05
Struldbugs,1,7.450454477723141e-05
Suppose,9,0.0006705409029950827
Swift,1,7.450454477723141e-05
Systemsimilarly,1,7.450454477723141e-05
TRADEMARK,1,7.450454477723141e-05
TRUTH,1,7.450454477723141e-05
Terms,2,0.00014900908955446283
Times,1,7.450454477723141e-05
Title,1,7.450454477723141e-05
Truth,1,7.450454477723141e-05
Truths,1,7.450454477723141e-05
UNIVERSALS,2,0.00014900908955446283
UT,1,7.450454477723141e-05
Understanding,1,7.450454477723141e-05
Uneducated,1,7.450454477723141e-05
Unionist,4,0.00029801817910892565
United,15,0.001117568171658471
Universals,1,7.450454477723141e-05
Universe,1,7.450454477723141e-05
University,1,7.450454477723141e-05
Unsupported,1,7.450454477723141e-05
Updated,1,7.450454477723141e-05
VII,2,0.00014900908955446283
VIII,1,7.450454477723141e-05
Vanilla,2,0.00014900908955446283
Volunteers,1,7.450454477723141e-05
WARRANTIES,2,0.00014900908955446283
WARRANTY,2,0.00014900908955446283
War,1,7.450454477723141e-05
Waterloo,1,7.450454477723141e-05
West,1,7.450454477723141e-05
Whitehead,1,7.450454477723141e-05
XI,2,0.00014900908955446283
XII,1,7.450454477723141e-05
XIII,1,7.450454477723141e-05
XIV,1,7.450454477723141e-05
XV,1,7.450454477723141e-05
York,1,7.450454477723141e-05
abandon,2,0.00014900908955446283
abide,1,7.450454477723141e-05
absence,2,0.00014900908955446283
absent,3,0.00022351363433169424
absolute,11,0.0008195499925495455
absolutely,4,0.00029801817910892565
abstain,1,7.450454477723141e-05
abstract,10,0.0007450454477723141
abstracted,1,7.450454477723141e-05
abstraction,4,0.00029801817910892565
abstractions,1,7.450454477723141e-05
abstractly,1,7.450454477723141e-05
absurd,5,0.00037252272388615704
absurdities,1,7.450454477723141e-05
absurdity,3,0.00022351363433169424
accept,3,0.00022351363433169424
acceptance,1,7.450454477723141e-05
accepted,4,0.00029801817910892565
accepting,4,0.00029801817910892565
accepts,1,7.450454477723141e-05
access,10,0.0007450454477723141
accessed,1,7.450454477723141e-05
accessible,1,7.450454477723141e-05
accident,1,7.450454477723141e-05
accidental,1,7.450454477723141e-05
accidents,1,7.450454477723141e-05
accompanied,1,7.450454477723141e-05
accord,1,7.450454477723141e-05
account,18,0.0013410818059901655
accounted,4,0.00029801817910892565
accounting,1,7.450454477723141e-05
accurate,1,7.450454477723141e-05
accusative,1,7.450454477723141e-05
accustomed,2,0.00014900908955446283
achieve,1,7.450454477723141e-05
achieved,4,0.00029801817910892565
achieves,1,7.450454477723141e-05
acquaintance,81,0.006034868126955744
acquainted,70,0.005215318134406199
acquaintedusually,1,7.450454477723141e-05
acquiesce,1,7.450454477723141e-05
acquiescence,1,7.450454477723141e-05
acquire,5,0.00037252272388615704
acquired,2,0.00014900908955446283
acquiring,2,0.00014900908955446283
acquisition,1,7.450454477723141e-05
action,4,0.00029801817910892565
actions,2,0.00014900908955446283
active,2,0.00014900908955446283
activity,1,7.450454477723141e-05
acts,4,0.00029801817910892565
actual,27,0.002011622708985248
acute,1,7.450454477723141e-05
adapts,1,7.450454477723141e-05
adding,1,7.450454477723141e-05
addition,8,0.0005960363582178513
additional,2,0.00014900908955446283
additions,2,0.00014900908955446283
address,1,7.450454477723141e-05
addresses,1,7.450454477723141e-05
adduced,1,7.450454477723141e-05
adequacy,1,7.450454477723141e-05
adequate,2,0.00014900908955446283
adequately,1,7.450454477723141e-05
adjectives,5,0.00037252272388615704
admirable,1,7.450454477723141e-05
admission,2,0.00014900908955446283
admit,13,0.0009685590821040083
admits,2,0.00014900908955446283
admitted,5,0.00037252272388615704
admittedthat,1,7.450454477723141e-05
admitthough,1,7.450454477723141e-05
admitting,1,7.450454477723141e-05
admixture,1,7.450454477723141e-05
adopt,6,0.0004470272686633885
advance,4,0.00029801817910892565
advanced,3,0.00022351363433169424
advances,1,7.450454477723141e-05
adversaries,1,7.450454477723141e-05
advocate,1,7.450454477723141e-05
advocated,6,0.0004470272686633885
advocates,1,7.450454477723141e-05
advocating,1,7.450454477723141e-05
aeroplanes,2,0.00014900908955446283
aesthetic,1,7.450454477723141e-05
aether,1,7.450454477723141e-05
affairs,1,7.450454477723141e-05
affections,1,7.450454477723141e-05
affirm,2,0.00014900908955446283
affirmative,1,7.450454477723141e-05
affirmed,2,0.00014900908955446283
afford,3,0.00022351363433169424
afforded,1,7.450454477723141e-05
affords,2,0.00014900908955446283
age,4,0.00029801817910892565
agent,1,7.450454477723141e-05
agree,10,0.0007450454477723141
agreeably,1,7.450454477723141e-05
agreed,4,0.00029801817910892565
agreedthe,1,7.450454477723141e-05
agreement,18,0.0013410818059901655
aim,1,7.450454477723141e-05
aimed,1,7.450454477723141e-05
aims,3,0.00022351363433169424
air,5,0.00037252272388615704
akin,1,7.450454477723141e-05
alien,1,7.450454477723141e-05
alive,2,0.00014900908955446283
allembracing,1,7.450454477723141e-05
allimportant,1,7.450454477723141e-05
allowed,1,7.450454477723141e-05
allowing,1,7.450454477723141e-05
allround,1,7.450454477723141e-05
alter,2,0.00014900908955446283
alteration,1,7.450454477723141e-05
altered,1,7.450454477723141e-05
alternate,1,7.450454477723141e-05
alternatives,1,7.450454477723141e-05
alters,1,7.450454477723141e-05
altogether,5,0.00037252272388615704
ambiguity,3,0.00022351363433169424
ambiguous,6,0.0004470272686633885
ambitious,1,7.450454477723141e-05
amend,1,7.450454477723141e-05
amply,1,7.450454477723141e-05
analogous,1,7.450454477723141e-05
analyse,1,7.450454477723141e-05
analyses,1,7.450454477723141e-05
analysing,2,0.00014900908955446283
analysis,8,0.0005960363582178513
analytic,6,0.0004470272686633885
anatomist,1,7.450454477723141e-05
angles,3,0.00022351363433169424
animal,1,7.450454477723141e-05
animals,6,0.0004470272686633885
announcement,1,7.450454477723141e-05
announces,2,0.00014900908955446283
answer,28,0.0020861272537624795
answered,2,0.00014900908955446283
answering,3,0.00022351363433169424
answers,11,0.0008195499925495455
anticipate,1,7.450454477723141e-05
anticipating,1,7.450454477723141e-05
anticipation,1,7.450454477723141e-05
antithesis,3,0.00022351363433169424
anxious,2,0.00014900908955446283
anybodys,1,7.450454477723141e-05
apparent,14,0.0010430636268812397
appeal,4,0.00029801817910892565
appealing,2,0.00014900908955446283
appearance,14,0.0010430636268812397
appearances,1,7.450454477723141e-05
appeared,5,0.00037252272388615704
appearing,1,7.450454477723141e-05
appears,17,0.001266577261212934
appetite,1,7.450454477723141e-05
applicable,12,0.000894054537326777
application,1,7.450454477723141e-05
applications,3,0.00022351363433169424
applied,1,7.450454477723141e-05
applies,17,0.001266577261212934
apply,9,0.0006705409029950827
applying,2,0.00014900908955446283
apportions,1,7.450454477723141e-05
apprehend,3,0.00022351363433169424
apprehended,9,0.0006705409029950827
apprehendedmust,1,7.450454477723141e-05
apprehending,2,0.00014900908955446283
apprehends,1,7.450454477723141e-05
apprehension,3,0.00022351363433169424
approach,5,0.00037252272388615704
approaches,1,7.450454477723141e-05
approaching,1,7.450454477723141e-05
apt,5,0.00037252272388615704
arduous,1,7.450454477723141e-05
argue,5,0.00037252272388615704
argued,1,7.450454477723141e-05
arguedcorrectly,1,7.450454477723141e-05
argues,1,7.450454477723141e-05
arguing,1,7.450454477723141e-05
argument,26,0.0019371181642080166
arguments,16,0.0011920727164357026
arises,4,0.00029801817910892565
arithmetic,11,0.0008195499925495455
arithmetical,3,0.00022351363433169424
arm,3,0.00022351363433169424
arose,1,7.450454477723141e-05
arrange,1,7.450454477723141e-05
arranged,2,0.00014900908955446283
arrangement,3,0.00022351363433169424
array,1,7.450454477723141e-05
arrive,7,0.0005215318134406199
arrived,1,7.450454477723141e-05
arriving,1,7.450454477723141e-05
arrogant,1,7.450454477723141e-05
artificial,1,7.450454477723141e-05
ascertain,2,0.00014900908955446283
ascertainable,2,0.00014900908955446283
ascertained,1,7.450454477723141e-05
aspect,2,0.00014900908955446283
assassinated,1,7.450454477723141e-05
assent,2,0.00014900908955446283
assented,1,7.450454477723141e-05
assert,7,0.0005215318134406199
asserted,2,0.00014900908955446283
asserting,3,0.00022351363433169424
assertion,3,0.00022351363433169424
asserts,7,0.0005215318134406199
assigns,1,7.450454477723141e-05
assimilate,1,7.450454477723141e-05
assist,1,7.450454477723141e-05
assistance,3,0.00022351363433169424
associate,2,0.00014900908955446283
association,10,0.0007450454477723141
associations,2,0.00014900908955446283
assume,10,0.0007450454477723141
assumed,4,0.00029801817910892565
assumes,3,0.00022351363433169424
assuming,3,0.00022351363433169424
assumption,2,0.00014900908955446283
assumptions,1,7.450454477723141e-05
assurance,1,7.450454477723141e-05
assure,1,7.450454477723141e-05
assured,1,7.450454477723141e-05
astray,1,7.450454477723141e-05
astronomy,2,0.00014900908955446283
astute,4,0.00029801817910892565
ate,1,7.450454477723141e-05
atoms,1,7.450454477723141e-05
attach,2,0.00014900908955446283
attached,1,7.450454477723141e-05
attack,1,7.450454477723141e-05
attain,1,7.450454477723141e-05
attainable,1,7.450454477723141e-05
attained,2,0.00014900908955446283
attainedmany,1,7.450454477723141e-05
attempt,16,0.0011920727164357026
attempted,2,0.00014900908955446283
attempts,4,0.00029801817910892565
attendant,2,0.00014900908955446283
attention,5,0.00037252272388615704
attested,1,7.450454477723141e-05
attitude,1,7.450454477723141e-05
attributing,1,7.450454477723141e-05
avoid,5,0.00037252272388615704
avoided,1,7.450454477723141e-05
avoiding,1,7.450454477723141e-05
aware,23,0.0017136045298763224
awareness,2,0.00014900908955446283
awaresay,1,7.450454477723141e-05
away—you,1,7.450454477723141e-05
axioms,3,0.00022351363433169424
babies,1,7.450454477723141e-05
bad,2,0.00014900908955446283
badit,1,7.450454477723141e-05
bald,3,0.00022351363433169424
baldness,1,7.450454477723141e-05
balloons,2,0.00014900908955446283
banging,1,7.450454477723141e-05
bar,1,7.450454477723141e-05
bare,2,0.00014900908955446283
barrier,1,7.450454477723141e-05
based,14,0.0010430636268812397
basis,8,0.0005960363582178513
battle,3,0.00022351363433169424
bear,2,0.00014900908955446283
bearing,2,0.00014900908955446283
beat,1,7.450454477723141e-05
bed,1,7.450454477723141e-05
beech,10,0.0007450454477723141
beg,1,7.450454477723141e-05
begging,1,7.450454477723141e-05
beginner,1,7.450454477723141e-05
begs,1,7.450454477723141e-05
begun,1,7.450454477723141e-05
behave,1,7.450454477723141e-05
behaviour,1,7.450454477723141e-05
beingas,1,7.450454477723141e-05
beis,1,7.450454477723141e-05
beleagured,1,7.450454477723141e-05
belief,100,0.007450454477723141
beliefs,48,0.003576218149307108
beliefsfor,1,7.450454477723141e-05
beliefssuch,1,7.450454477723141e-05
believed,13,0.0009685590821040083
believes,17,0.001266577261212934
believesto,1,7.450454477723141e-05
believing,24,0.001788109074653554
bell,1,7.450454477723141e-05
bells,2,0.00014900908955446283
belong,3,0.00022351363433169424
belongs,9,0.0006705409029950827
besomething,1,7.450454477723141e-05
bewildering,1,7.450454477723141e-05
bid,1,7.450454477723141e-05
bigger,1,7.450454477723141e-05
binary,1,7.450454477723141e-05
binds,1,7.450454477723141e-05
black,2,0.00014900908955446283
blank,1,7.450454477723141e-05
blind,12,0.000894054537326777
blue,7,0.0005215318134406199
bluegreen,1,7.450454477723141e-05
bodies,8,0.0005960363582178513
body,25,0.0018626136194307853
bolder,1,7.450454477723141e-05
bone,1,7.450454477723141e-05
books,3,0.00022351363433169424
bored,1,7.450454477723141e-05
born,4,0.00029801817910892565
borne,1,7.450454477723141e-05
bought,2,0.00014900908955446283
bound,3,0.00022351363433169424
boundaries,2,0.00014900908955446283
bounds,1,7.450454477723141e-05
brain,2,0.00014900908955446283
bread,2,0.00014900908955446283
breakfast,3,0.00022351363433169424
brick,1,7.450454477723141e-05
briefest,1,7.450454477723141e-05
brighter,1,7.450454477723141e-05
brightness,1,7.450454477723141e-05
bring,3,0.00022351363433169424
brings,2,0.00014900908955446283
broadly,3,0.00022351363433169424
broken,1,7.450454477723141e-05
brotherhood,1,7.450454477723141e-05
brought,4,0.00029801817910892565
brown,7,0.0005215318134406199
build,1,7.450454477723141e-05
builder,1,7.450454477723141e-05
buildings,1,7.450454477723141e-05
built,2,0.00014900908955446283
business,6,0.0004470272686633885
calculate,1,7.450454477723141e-05
calculated,1,7.450454477723141e-05
called,49,0.003650722694084339
calling,2,0.00014900908955446283
calls,5,0.00037252272388615704
calm,1,7.450454477723141e-05
calmly,2,0.00014900908955446283
campsfriends,1,7.450454477723141e-05
candid,1,7.450454477723141e-05
candidate,7,0.0005215318134406199
candidates,2,0.00014900908955446283
capable,16,0.0011920727164357026
card,1,7.450454477723141e-05
care,6,0.0004470272686633885
careful,1,7.450454477723141e-05
carefully,2,0.00014900908955446283
carelessly,1,7.450454477723141e-05
carry,1,7.450454477723141e-05
cat,5,0.00037252272388615704
catalogue,1,7.450454477723141e-05
catalogued,1,7.450454477723141e-05
catching,1,7.450454477723141e-05
categories,1,7.450454477723141e-05
causality,2,0.00014900908955446283
caused,5,0.00037252272388615704
causing,2,0.00014900908955446283
cease,4,0.00029801817910892565
ceased,4,0.00029801817910892565
ceases,5,0.00037252272388615704
cement,3,0.00022351363433169424
centuries,1,7.450454477723141e-05
century,1,7.450454477723141e-05
certainty,32,0.0023841454328714052
chair,2,0.00014900908955446283
chairs,2,0.00014900908955446283
challenged,2,0.00014900908955446283
chance,1,7.450454477723141e-05
change,5,0.00037252272388615704
changeable,1,7.450454477723141e-05
changed,1,7.450454477723141e-05
changing,2,0.00014900908955446283
chapter,28,0.0020861272537624795
chapters,5,0.00037252272388615704
character,5,0.00037252272388615704
characteristic,6,0.0004470272686633885
characteristics,9,0.0006705409029950827
characters,2,0.00014900908955446283
charge,6,0.0004470272686633885
charges,2,0.00014900908955446283
charitable,1,7.450454477723141e-05
charities,1,7.450454477723141e-05
check,4,0.00029801817910892565
checks,1,7.450454477723141e-05
chicken,4,0.00029801817910892565
chief,6,0.0004470272686633885
chiefly,2,0.00014900908955446283
child,1,7.450454477723141e-05
chimaera,1,7.450454477723141e-05
chime,3,0.00022351363433169424
choice,1,7.450454477723141e-05
choose,3,0.00022351363433169424
chosen,1,7.450454477723141e-05
circle,4,0.00029801817910892565
circular,4,0.00029801817910892565
circumstances,6,0.0004470272686633885
citizens,1,7.450454477723141e-05
citizenship,1,7.450454477723141e-05
city,1,7.450454477723141e-05
claim,5,0.00037252272388615704
clash,1,7.450454477723141e-05
clashes,1,7.450454477723141e-05
class,5,0.00037252272388615704
clean,1,7.450454477723141e-05
clearer,2,0.00014900908955446283
clock,1,7.450454477723141e-05
close,2,0.00014900908955446283
closed,1,7.450454477723141e-05
closely,2,0.00014900908955446283
closer,1,7.450454477723141e-05
closes,1,7.450454477723141e-05
cloth,3,0.00022351363433169424
clouds,1,7.450454477723141e-05
coalesce,1,7.450454477723141e-05
codes,1,7.450454477723141e-05
coexistence,3,0.00022351363433169424
cohere,1,7.450454477723141e-05
coherence,10,0.0007450454477723141
coherent,8,0.0005960363582178513
coin,1,7.450454477723141e-05
coins,1,7.450454477723141e-05
collection,14,0.0010430636268812397
collections,3,0.00022351363433169424
collective,1,7.450454477723141e-05
colony,1,7.450454477723141e-05
colour,56,0.004172254507524959
colourblind,1,7.450454477723141e-05
colours,12,0.000894054537326777
combination,1,7.450454477723141e-05
combine,1,7.450454477723141e-05
combined,2,0.00014900908955446283
coming,1,7.450454477723141e-05
commentators,2,0.00014900908955446283
commercial,1,7.450454477723141e-05
commit,1,7.450454477723141e-05
committed,2,0.00014900908955446283
common,32,0.0023841454328714052
commonest,2,0.00014900908955446283
commonly,10,0.0007450454477723141
commonsense,2,0.00014900908955446283
communicate,1,7.450454477723141e-05
community,1,7.450454477723141e-05
comparative,1,7.450454477723141e-05
compare,1,7.450454477723141e-05
compared,1,7.450454477723141e-05
comparing,1,7.450454477723141e-05
comparison,3,0.00022351363433169424
compelled,5,0.00037252272388615704
competent,1,7.450454477723141e-05
compilation,1,7.450454477723141e-05
complement,1,7.450454477723141e-05
complete,6,0.0004470272686633885
completed,1,7.450454477723141e-05
completely,10,0.0007450454477723141
complex,33,0.0024586499776486368
compliance,4,0.00029801817910892565
complicated,3,0.00022351363433169424
comply,6,0.0004470272686633885
complying,3,0.00022351363433169424
composed,6,0.0004470272686633885
compressed,1,7.450454477723141e-05
computers,2,0.00014900908955446283
conceded,2,0.00014900908955446283
